"","GSM3359632","GSM3359633","GSM3359634","GSM3359635","GSM3359636","GSM3359637","GSM3359638","GSM3359639","GSM3359640","GSM3359641","GSM3359642","GSM3359643"
"CHST7",4.5394147549342,4.98686337368028,4.29424253940617,4.05708132361486,4.37344244190931,5.04981605115123,4.57676493930533,4.41063249603469,3.75513972486177,3.7214877874772,3.44414492141582,4.05268282251918
"RSRC1",3.62151747371883,4.08068252218228,4.47856196498754,4.28253633503082,3.84834719020854,4.15501402213291,3.83999069990454,4.35739060933674,3.64613282127137,2.31291654471119,2.99557764668046,3.87508391949862
"KRTAP10-10",5.80235868214597,5.39660900941236,5.66657236511391,5.00948278093541,5.58145362417302,5.47450532949469,5.32485718649873,5.17132253511099,5.93355939067759,5.39081533626434,5.59045026025864,5.1045488488313
"DEFB134",2.28158927338224,2.33238732368753,2.2008922790234,1.92116917125674,2.0009446567817,2.37113751610687,2.42517513245115,2.38116541047354,2.6563126140099,2.40891667139681,1.98207720366034,2.29555927684158
"XAGE3",2.15968857461989,2.00659621384711,2.23110435740532,1.92337854676675,2.08197971009587,2.21298043064471,2.18068492691506,2.0114985119884,2.43494378213531,2.30668894175477,2.16437926435852,1.92172451673875
"PTMS",5.64372267729525,5.34920658647461,5.66305088584612,4.95707524245107,5.33880050583507,5.72781756004218,5.70487388790454,5.47586914027383,6.01669188842918,5.64394320783887,5.31374178097933,5.21484144697385
"IFNA5",1.62598217690873,1.68743333534806,1.45857187050645,1.54435816294297,1.22210450237939,1.80384944900239,1.53025341476863,1.54472512617043,1.91054839760307,1.47971429588738,1.5827417227801,1.25101056745587
"METTL25B",2.85204509490406,2.87490609576219,3.15937532546967,2.53884061659194,2.74152159935862,2.96375639534321,2.88458464218176,2.89224246673172,3.55936761591797,3.46595179889029,2.67756078620531,2.72368875542978
"MTNR1A",3.06998302308274,2.66942370216944,2.95661466837486,2.63126733943789,2.69426848504332,2.93283731603901,3.5827475215288,3.10534687391501,3.51261515618066,3.64692017595413,3.12396325141468,2.7899818086086
"UTS2R",4.34607214121824,4.29182625173812,4.55801728767922,3.95022526715621,4.35718753238263,4.57553791856943,4.11410494516508,4.28870147096132,4.62243178796466,4.65666911867347,4.39977468089986,4.19086253049694
"FIG4",5.37113186739157,5.14799237985823,4.98288662475501,6.18374100777381,5.40509933605452,5.15738052610505,4.7961747205204,6.44974419672596,6.01280454711207,5.25504584044359,3.62767683501758,6.22981528869731
"PKD1L3",1.96177468310927,1.53114248662962,1.78570225906906,1.73920713229778,1.58542488929469,1.62300917691587,1.94030709109383,1.49881458678926,1.74063384650535,2.58019194557281,1.57834799848224,1.59295183077162
"EPPK1",2.16448291987707,2.30590047362715,2.40700368051751,2.16934000782772,2.14269035963243,2.40483943555241,2.2065048543256,2.31430544166728,1.92755438172242,2.12562593941459,2.0429819416795,2.23267012668731
"GP1BB",6.72656605937346,6.18750607619253,5.64832095644045,6.20858987776736,6.9506580975806,6.67352452133334,7.93387754713114,7.23025771310858,7.12492509515625,7.36565610537969,7.30101899821676,6.37038891087484
"ALG1L1P",1.57332768628928,1.8091383435173,1.8705744136898,1.85183445202403,1.79054655773193,1.94331504152886,2.08062439749853,1.52095705779231,2.49812265762725,1.56147111391934,2.0990158883535,1.91201171405922
"KLF7",5.76474178164294,5.28992498490656,6.15521788795862,5.52328506844026,5.6698694166428,5.76251787337996,5.0509608078688,5.4777011683813,5.00103788864156,4.98661117965225,5.09085812788623,5.046394285501
"TPM2",2.99976144405296,2.62448730348633,2.57581428414208,2.94657488981647,2.68428171039262,3.23289242932617,2.76282067943441,2.70525450128069,3.12443294034346,2.50337410545985,2.90649468808669,2.85822627502441
"AURKAIP1",5.73324976763113,6.06333846901277,5.94096122374649,6.38966140417824,5.97133701602877,5.98349609971614,6.75289304016821,6.24514284773127,5.74890461315648,6.10371807229601,6.71045592529707,6.55455206292801
"PGAM4",1.54477755781389,1.68632993375236,1.53816948351917,1.37738424409908,1.77789767004223,1.93533622686685,1.6739976148781,1.78734834204806,1.79475218062742,1.69113736387166,1.56411971112345,1.49971234538342
"JUP",3.17398225758187,2.90313667032296,2.9920495001314,3.49655761980052,3.10656652426158,3.07983958222605,3.2834585983523,2.82422057599366,3.48197773353543,3.26364351302128,2.78012237094603,2.73997782349373
"ASIP",2.57311839927424,2.51243453443678,2.75923062136248,1.9772289656177,2.50617046443701,2.62883839296838,2.83129948012006,2.5572316730114,3.1440875023919,3.52992733022387,2.99557764668046,2.54774928711434
"CCKAR",2.61524205675927,1.77782650345947,2.11312978439435,2.13411112730179,2.27167870085656,2.16994661136813,2.62058102039021,1.8091383435173,2.42005575247305,3.00885972940031,1.99352738877786,1.92817092865474
